index,provenanceCommand,status,riviuMapping,decision
1,action_act,existing,Flow and macro runtime,typed local automation; AutoSwipe extends this surface
2,action_play,existing,Flow and macro runtime,typed local automation; AutoSwipe extends this surface
3,activate,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
4,adb_command,security-excluded,none,"unsafe vendor transport, privilege, key, script, or HID surface"
5,app_install,implement,Android app library,clean-room package metadata and controlled install
6,button2_qrcode,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
7,button3_qrcode,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
8,calibrate_mouse,security-excluded,none,"unsafe vendor transport, privilege, key, script, or HID surface"
9,check_adb_device,existing,Riviu device control,equivalent typed capability already exists
10,check_auto_update,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
11,check_brand_stop,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
12,check_client_token,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
13,check_hid_app_installed,security-excluded,none,"unsafe vendor transport, privilege, key, script, or HID surface"
14,check_serial_number,existing,Riviu device control,equivalent typed capability already exists
15,check_service,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
16,client_event_reporting,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
17,client_login,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
18,client_logout,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
19,client_pwd_reset,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
20,client_refund,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
21,client_refund_reason,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
22,client_register,commercial-excluded,none,"commercial account, branding, telemetry, or updater surface"
23,close_device,existing,Riviu device control,equivalent typed capability already exists
24,cloud_phone_active_page,commercial-excluded,none,"account, payment, or cloud-phone surface"
25,cloud_phone_connect,commercial-excluded,none,"account, payment, or cloud-phone surface"
26,cloud_phone_get_renew_order_info,commercial-excluded,none,"account, payment, or cloud-phone surface"
27,cloud_phone_lease_record_page,commercial-excluded,none,"account, payment, or cloud-phone surface"
28,cloud_phone_my_phones,commercial-excluded,none,"account, payment, or cloud-phone surface"
29,cloud_phone_pay_record_page,commercial-excluded,none,"account, payment, or cloud-phone surface"
30,cloud_phone_renew_prepay,commercial-excluded,none,"account, payment, or cloud-phone surface"
31,cloud_phone_tag_add,commercial-excluded,none,"account, payment, or cloud-phone surface"
32,cloud_phone_tag_del,commercial-excluded,none,"account, payment, or cloud-phone surface"
33,cloud_phone_tag_edit,commercial-excluded,none,"account, payment, or cloud-phone surface"
34,cloud_phone_tag_list,commercial-excluded,none,"account, payment, or cloud-phone surface"
35,cloud_phone_tag_sort,commercial-excluded,none,"account, payment, or cloud-phone surface"
36,cloud_virtual_active_page,commercial-excluded,none,"account, payment, or cloud-phone surface"
37,cloud_virtual_ali_command,commercial-excluded,none,"account, payment, or cloud-phone surface"
38,cloud_virtual_auth_device_page,commercial-excluded,none,"account, payment, or cloud-phone surface"
39,cloud_virtual_baidu_command,commercial-excluded,none,"account, payment, or cloud-phone surface"
40,cloud_virtual_blade_command,commercial-excluded,none,"account, payment, or cloud-phone surface"
41,cloud_virtual_create_ali_lease_device,commercial-excluded,none,"account, payment, or cloud-phone surface"
42,cloud_virtual_lease_record_page,commercial-excluded,none,"account, payment, or cloud-phone surface"
